local_time,demand_mw,solar_mw,wind_mw,renewable_gen_mw,residual_demand_mw,date,hour,n_intervals,avg_price_mwh,max_price_mwh,scarcity_flag_any,scarcity_flag_avg
1/2/2022 20:00,"48,522","6,477","9,619","16,096","32,426",01/02/2022,21,4,38.12,39.1,0,0
1/2/2022 21:00,"47,013","6,796","8,678","15,474","31,539",01/02/2022,22,4,37.2525,37.71,0,0
1/2/2022 22:00,"46,134","6,830","7,609","14,439","31,695",01/02/2022,23,4,34.4125,34.5,0,0
1/2/2022 23:00,"46,228","5,163","6,173","11,336","34,892",01/02/2022,24,4,34.8225,35.58,0,0
1/3/2022 0:00,"48,732",951,"5,078","6,029","42,703",01/03/2022,1,4,35.0125,35.45,0,0
1/3/2022 1:00,"51,676",0,"4,875","4,875","46,801",01/03/2022,2,4,34.925,35.13,0,0
1/3/2022 2:00,"52,376",0,"4,815","4,815","47,561",01/03/2022,3,4,35.69,36.03,0,0
1/3/2022 3:00,"52,326",0,"4,929","4,929","47,397",01/03/2022,4,4,36.3775,36.59,0,0
1/3/2022 4:00,"52,010",0,"4,975","4,975","47,035",01/03/2022,5,4,37.1025,37.23,0,0
1/3/2022 5:00,"50,707",0,"4,909","4,909","45,798",01/03/2022,6,4,37.3875,38.36,0,0
1/3/2022 6:00,"49,442",0,"4,851","4,851","44,591",01/03/2022,7,4,55.0175,74.49,0,0
1/3/2022 7:00,"48,507",0,"4,907","4,907","43,600",01/03/2022,8,4,51.735,63.3,0,0
